sigma,rank,ave. train error,ave. test error,ave. num for both train and test
1.0,40,0.3734970878512126,1.6804101107825793,0.0
1.0,50,0.3238498032796728,1.5472988384468782,0.25
1.0,60,0.26878384611364603,1.2381204760374722,0.5
1.0,70,0.25222990426627473,2.003988917464746,0.5
1.0,80,0.3041879971910718,3.9107710466971666,1.25
1.0,90,0.2078072722582035,4.468528956218219,4.5
1.0,100,0.22594853991078112,4.64083799671875,4.25
1.0,110,0.19149691852193781,4.79647513224662,3.25
1.0,120,0.1308920727983481,4.062551502605885,9.0
1.0,130,0.11102641959229478,3.214019758141375,3.0
1.0,140,0.1018386584878405,3.4865205658883083,12.25
1.0826367338740543,40,0.33742664564020936,1.5963984960978392,0.0
1.0826367338740543,50,0.3126149018720149,3.7427216069652727,0.25
1.0826367338740543,60,0.2583355533822002,1.7504871399298587,0.5
1.0826367338740543,70,0.2495626845355377,3.6434138705195322,2.0
1.0826367338740543,80,0.2580604685396905,11.327231919366797,1.0
1.0826367338740543,90,0.21873778815684408,7.364273267224126,1.0
1.0826367338740543,100,0.17474707469761475,3.563582575269329,2.75
1.0826367338740543,110,0.1530518463551313,20.974231623208684,1.25
1.0826367338740543,120,0.141388121127656,4.424348610832464,9.75
1.0826367338740543,130,0.10562685052538569,3.604274031073623,8.0
1.0826367338740543,140,0.0884858848924919,3.6091654579382983,7.25
1.1721022975334803,40,0.3849861808329422,1.6098486649465138,0.25
1.1721022975334803,50,0.3238928739763892,1.9046537314342369,0.25
1.1721022975334803,60,0.2853798667219223,2.8542466839351404,0.25
1.1721022975334803,70,0.2592106886552678,5.834617877499869,0.5
1.1721022975334803,80,0.2678025339153282,4.160344474417964,8.0
1.1721022975334803,90,0.19326434923426916,10.795447425093426,6.0
1.1721022975334803,100,0.17340377206569257,2.6060007308496775,7.0
1.1721022975334803,110,0.13475551711075556,2.5901819909130435,8.75
1.1721022975334803,120,0.1233927881104224,14.474830628547428,6.5
1.1721022975334803,130,0.09981876980942579,2.8356277661064926,13.75
1.1721022975334803,140,0.10457698899732899,3.0632504388691726,10.75
1.2689610031679222,40,0.34969446013128835,1.6970812253111345,0.25
1.2689610031679222,50,0.27918176219555585,1.724047029827904,0.25
1.2689610031679222,60,0.25028231793386546,2.7062001824083626,0.75
1.2689610031679222,70,0.2054125969805077,2.671773698652763,0.5
1.2689610031679222,80,0.23146195798771121,1.857993564011468,8.0
1.2689610031679222,90,0.19772197263493457,3.214201940445015,2.0
1.2689610031679222,100,0.18391223669077061,2.8945718577678248,10.5
1.2689610031679222,110,0.14331612265290428,2.9772348866628597,6.0
1.2689610031679222,120,0.14658043027076578,5.958503384550046,5.75
1.2689610031679222,130,0.11651845926752155,2.635506628305461,9.5
1.2689610031679222,140,0.07302047237041145,3.300188213208677,9.75
1.3738237958832629,40,0.264661049496062,2.458745911556501,0.5
1.3738237958832629,50,0.22440593027587816,1.8886850697506659,0.5
1.3738237958832629,60,0.24532146714627948,1.8904998693745079,1.0
1.3738237958832629,70,0.24031559007858064,7.008939064951509,1.0
1.3738237958832629,80,0.21543461273995013,5.70485015969297,1.75
1.3738237958832629,90,0.19071671970401505,3.93088182906945,6.0
1.3738237958832629,100,0.1862768168884663,5.427316578544816,3.0
1.3738237958832629,110,0.17258230292639115,2.5202321582494007,7.25
1.3738237958832629,120,0.13449883800112267,3.241415312535493,7.75
1.3738237958832629,130,0.1134483734651531,2.3779217466507045,12.5
1.3738237958832629,140,0.05221267874537751,3.067134486012057,8.75
1.4873521072935114,40,0.2598987241776305,2.5366311149596403,0.5
1.4873521072935114,50,0.21629264365218723,1.5060205453616198,2.5
1.4873521072935114,60,0.22872697972522793,1.5074719755028596,2.0
1.4873521072935114,70,0.21320383936969411,3.3328199929650104,2.5
1.4873521072935114,80,0.21058792909845858,3.8656290037824315,5.5
1.4873521072935114,90,0.17366990450108188,4.642935431024951,6.25
1.4873521072935114,100,0.16481157654036144,2.2478260981354556,9.25
1.4873521072935114,110,0.13925268453581668,2.3727895345594074,14.0
1.4873521072935114,120,0.10248685524932033,3.006937929857739,10.0
1.4873521072935114,130,0.10816674293049339,4.977620892624607,10.5
1.4873521072935114,140,0.08487614385029094,3.78055121228422,6.0
1.6102620275609394,40,0.264335021375826,1.1659068426402088,0.5
1.6102620275609394,50,0.22506032362244185,1.2063258805063457,3.0
1.6102620275609394,60,0.17974862651505819,4.845697755381436,3.25
1.6102620275609394,70,0.22057542479182118,2.008288689978527,7.0
1.6102620275609394,80,0.19680355595110363,1.887899298977612,7.75
1.6102620275609394,90,0.16667819880753804,2.613696911581406,2.0
1.6102620275609394,100,0.14566205145643818,3.414791798236234,8.5
1.6102620275609394,110,0.17031075214021707,2.041117337744338,23.25
1.6102620275609394,120,0.13214038004565015,4.1726230638809145,5.5
1.6102620275609394,130,0.09100301323456528,3.487462967900871,16.0
1.6102620275609394,140,0.05875597083446346,4.5560212683556065,6.5
1.7433288221999879,40,0.22685022311024594,1.1284482383466345,0.75
1.7433288221999879,50,0.2178098266364375,1.6235184526070938,0.75
1.7433288221999879,60,0.2136345403234201,1.5244891502840865,3.75
1.7433288221999879,70,0.19207133312781852,1.4049624784149197,8.0
1.7433288221999879,80,0.17196523163157518,2.7465918331588313,6.0
1.7433288221999879,90,0.17793919491459342,2.546250060904617,7.75
1.7433288221999879,100,0.15796858466179783,1.9448713478607336,8.75
1.7433288221999879,110,0.15114578917965205,2.6141696024269754,9.5
1.7433288221999879,120,0.13340083743853998,2.7734085333426632,19.25
1.7433288221999879,130,0.09914184226933129,2.7972367356199612,15.0
1.7433288221999879,140,0.08839209969808498,2.9954964010013785,10.0
1.8873918221350972,40,0.22753196494122935,1.1529635962838298,2.0
1.8873918221350972,50,0.21181975081381774,1.0498238827138873,6.0
1.8873918221350972,60,0.22121668026712232,1.4938391502367563,4.0
1.8873918221350972,70,0.15020853328871062,1.3577935483569679,8.25
1.8873918221350972,80,0.17336790918754919,1.9503754579811245,8.0
1.8873918221350972,90,0.13048563044435763,2.427753096828223,9.25
1.8873918221350972,100,0.14193281351777653,2.35290258758378,19.5
1.8873918221350972,110,0.13711295952369917,2.4578120680888293,9.75
1.8873918221350972,120,0.10625433633712238,2.8652370558644322,11.75
1.8873918221350972,130,0.09589172860237602,3.0207591493705577,6.75
1.8873918221350972,140,0.055997755601905744,2.8991993656517083,21.75
2.043359717856942,40,0.24818736272443775,1.390417506382544,1.5
2.043359717856942,50,0.17392805023380503,1.4406534828088668,2.75
2.043359717856942,60,0.16919461313871748,1.4252330361867505,6.75
2.043359717856942,70,0.15533901799356273,1.3801487674197963,11.75
2.043359717856942,80,0.1971275055304193,1.5571681479973902,14.0
2.043359717856942,90,0.1586893521751706,1.9465821800939276,9.25
2.043359717856942,100,0.15337586953361515,2.590292737241147,12.5
2.043359717856942,110,0.11572908776496303,2.4505455592074568,13.75
2.043359717856942,120,0.09666099201467694,2.6019310459992355,14.75
2.043359717856942,130,0.0853620471973892,3.5691694708254813,10.5
2.043359717856942,140,0.049419622486609485,3.982579871279444,15.25
2.2122162910704493,40,0.24528535697163428,1.230830671321952,2.5
